processCcd timings:
overall:
processCcd:calibrate.background: UTime median=4.0; mean=3.61894273128; stdDev=0.485646606779; min=3; max=4; n=454
processCcd:calibrate.background: STime median=0.0; mean=0.118942731278; stdDev=0.323721111381; min=0; max=1; n=454
processCcd:calibrate.background: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=454
processCcd.process: CpuTime median=81.0; mean=80.4353448276; stdDev=17.135744826; min=19; max=135; n=232
processCcd.process: UTime median=78.0; mean=77.4870689655; stdDev=16.972589617; min=18; max=130; n=232
processCcd.process: STime median=3.0; mean=2.97844827586; stdDev=0.848152763005; min=1; max=6; n=232
processCcd.process: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=232
processCcd.run: CpuTime median=108.0; mean=107.775862069; stdDev=17.1346524304; min=46; max=165; n=232
processCcd.run: UTime median=101.0; mean=100.663793103; stdDev=16.872975723; min=41; max=155; n=232
processCcd.run: STime median=7.0; mean=7.06896551724; stdDev=1.22280160183; min=5; max=11; n=232
processCcd.run: MaxRss median=0.0; mean=49772.1724138; stdDev=174248.552041; min=0; max=744196; n=232
processCcd:isr.run: CpuTime median=27.0; mean=27.3405172414; stdDev=1.06693877666; min=26; max=31; n=232
processCcd:isr.run: UTime median=23.0; mean=23.1767241379; stdDev=0.515928650276; min=22; max=25; n=232
processCcd:isr.run: STime median=4.0; mean=4.09051724138; stdDev=0.917030293964; min=3; max=7; n=232
processCcd:isr.run: MaxRss median=0.0; mean=49771.137931; stdDev=174244.623294; min=0; max=744180; n=232
processCcd:detection.makeSourceCatalog: CpuTime median=12.0; mean=13.0945945946; stdDev=3.93929928918; min=11; max=31; n=222
processCcd:detection.makeSourceCatalog: UTime median=11.0; mean=12.2342342342; stdDev=3.9534565899; min=10; max=30; n=222
processCcd:detection.makeSourceCatalog: STime median=1.0; mean=0.81981981982; stdDev=0.468814840766; min=0; max=2; n=222
processCcd:detection.makeSourceCatalog: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=222
processCcd:detection.detectFootprints: CpuTime median=12.0; mean=13.0945945946; stdDev=3.93929928918; min=11; max=31; n=222
processCcd:detection.detectFootprints: UTime median=11.0; mean=12.2342342342; stdDev=3.9534565899; min=10; max=30; n=222
processCcd:detection.detectFootprints: STime median=1.0; mean=0.81981981982; stdDev=0.468814840766; min=0; max=2; n=222
processCcd:detection.detectFootprints: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=222
processCcd:measurement.classify: CpuTime median=2.0; mean=2.09009009009; stdDev=0.651395584956; min=1; max=3; n=222
processCcd:measurement.classify: UTime median=2.0; mean=2.12612612613; stdDev=0.652329396662; min=1; max=3; n=222
processCcd:measurement.classify: STime median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=222
processCcd:measurement.classify: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=222
processCcd:measurement.measure: CpuTime median=18.0; mean=19.7702702703; stdDev=7.09373654185; min=9; max=46; n=222
processCcd:measurement.measure: UTime median=18.0; mean=19.8333333333; stdDev=7.17001807244; min=9; max=46; n=222
processCcd:measurement.measure: STime median=0.0; mean=0.0630630630631; stdDev=0.243076352491; min=0; max=1; n=222
processCcd:measurement.measure: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=222
processCcd:measurement.applyApCorr: CpuTime median=0.0; mean=0.148648648649; stdDev=0.355741799489; min=0; max=1; n=222
processCcd:measurement.applyApCorr: UTime median=0.0; mean=0.166666666667; stdDev=0.37267799625; min=0; max=1; n=222
processCcd:measurement.applyApCorr: STime median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=222
processCcd:measurement.applyApCorr: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=222
processCcd:measurement.run: CpuTime median=21.0; mean=22.036036036; stdDev=7.33672476197; min=11; max=48; n=222
processCcd:measurement.run: UTime median=21.0; mean=22.1261261261; stdDev=7.52367688181; min=11; max=49; n=222
processCcd:measurement.run: STime median=0.0; mean=0.0630630630631; stdDev=0.243076352491; min=0; max=1; n=222
processCcd:measurement.run: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=222
processCcd:calibrate:repair.run: CpuTime median=1.0; mean=1.20704845815; stdDev=0.405190565201; min=1; max=2; n=454
processCcd:calibrate:repair.run: UTime median=1.0; mean=1.27092511013; stdDev=0.444437503854; min=1; max=2; n=454
processCcd:calibrate:repair.run: STime median=0.0; mean=0.0220264317181; stdDev=0.146769438317; min=0; max=1; n=454
processCcd:calibrate:repair.run: MaxRss median=0.0; mean=0.0; stdDev=0.0; min=0; max=0; n=454
